PartNumber,Description,Value,Tolerance_pct,Voltage_V,Type,URL,Price
"Mundorf SESG-0,0010T5.1500","Mundorf SESG-0,0010T5.1500 | 0,001 µF | 5% | 1500 V",0.001,5.0,1500.0,Film Capacitor,https://www.soundimports.eu/en/mundorf-sesg-00010t51500.html,33.02
Audyn Q4/001/400,"Audyn Q4/001/400 | 0,01 µF | 5% | 400 V",0.01,5.0,400.0,Film Capacitor,https://www.soundimports.eu/en/audyn-q4-001-400.html,2.44
Dayton Audio DFFC-0.01,"Dayton Audio DFFC-0.01 | 0,01 µF | 5% | 400 V",0.01,5.0,400.0,Film Capacitor,https://www.soundimports.eu/en/dayton-audio-dffc-001.html,3.26
"Mundorf ME-0,010T5.650","Mundorf ME-0,010T5.650 | 0,01 µF | 5% | 650 V",0.01,5.0,650.0,Film Capacitor,https://www.soundimports.eu/en/mundorf-me-0010t5650.html,11.53
"Mundorf MEO-0,010T5.650","Mundorf MEO-0,010T5.650 | 0,01 µF | 5% | 650 V | Oil",0.01,5.0,650.0,Film Capacitor,https://www.soundimports.eu/en/mundorf-meo0010t5650.html,13.18
Jantzen Audio 001-7302,"Jantzen Audio 001-7302 | 0,01 µF | 5% | 630 V",0.01,5.0,630.0,Film Capacitor,https://www.soundimports.eu/en/jantzen-audio-001-7302.html,14.83
"Mundorf MESGO-0,010T5.650","Mundorf MESGO-0,010T5.650 | 0,01 µF | 5% | 650 V",0.01,5.0,650.0,Film Capacitor,https://www.soundimports.eu/en/mundorf-mesgo-0010t5650.html,24.75
Audyn FFC0010,"Audyn FFC0010 | 0,01 µF | 20% | 400 V",0.01,20.0,400.0,Film Capacitor,https://www.soundimports.eu/en/audyn-ffc0010.html,28.06
"Mundorf SESG-0,010T3.1500","Mundorf SESG-0,010T3.1500 | 0,01 µF | 3% | 1500 V",0.01,3.0,1500.0,Film Capacitor,https://www.soundimports.eu/en/mundorf-sesg-0010t31500.html,33.02
Intertechnik GLIK010,"Intertechnik GLIK010 | 0,01 µF | 1% | 1000 V | MICA Cap",0.01,1.0,1000.0,Film Capacitor,https://www.soundimports.eu/en/it-intertechnik-glik010.html,74.34
Jantzen Audio 001-7304,"Jantzen Audio 001-7304 | 0,022 µF | 5% | 630 V",0.022,5.0,630.0,Film Capacitor,https://www.soundimports.eu/en/jantzen-audio-001-7304.html,14.83
Audyn FFC0022,"Audyn FFC0022 | 0,022 µF | 20% | 400 V",0.022,20.0,400.0,Film Capacitor,https://www.soundimports.eu/en/audyn-ffc0022.html,24.75
