PartNumber,Description,Value,DCR_Ohm,AWG,Type,URL,Price
Jantzen Audio 000-1557,"Jantzen Audio 000-1557 | 0,01 mH | 0,07 Ω | 1% | 20 AWG",0.01,0.07,20.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1557.html,4.09
Jantzen Audio 000-76064,"Jantzen Audio 000-76064 | 0,01 mH | 0,03 Ω | 2% | 16 AWG",0.01,0.03,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-76064.html,12.77
Jantzen Audio 000-76065,"Jantzen Audio 000-76065 | 0,011 mH | 0,03 Ω | 2% | 16 AWG",0.011,0.03,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-76065.html,13.18
Jantzen Audio 000-7260,"Jantzen Audio 000-7260 | 0,011 mH | 0,02 Ω | 2% | 14 AWG",0.011,0.02,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7260.html,14.42
Jantzen Audio 000-85192,"Jantzen Audio 000-85192 | 0,02 mH | 0,04 Ω | 2% | 16 AWG",0.02,0.04,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-85192.html,14.01
Jantzen Audio 000-1804,"Jantzen Audio 000-1804 | 0,025 mH | 0,06 Ω | 1% | 18 AWG",0.025,0.06,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1804.html,4.5
Jantzen Audio 000-76075,"Jantzen Audio 000-76075 | 0,025 mH | 0,05 Ω | 2% | 16 AWG",0.025,0.05,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-76075.html,14.42
Jantzen Audio 000-7273,"Jantzen Audio 000-7273 | 0,025 mH | 0,03 Ω | 2% | 14 AWG",0.025,0.03,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7273.html,16.07
Jantzen Audio 000-76077,"Jantzen Audio 000-76077 | 0,027 mH | 0,05 Ω | 2% | 16 AWG",0.027,0.05,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-76077.html,14.42
Jantzen Audio 000-8006,"Jantzen Audio 000-8006 | 0,033 mH | 0,03 Ω | 2% | 12 AWG",0.033,0.03,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8006.html,20.21
Dayton Audio LW18-05,Dayton Audio LW18-05 | 0.05 mH | 0.10 Ω | 5% | 18 AWG,0.05,0.1,18.0,Air Core,https://www.soundimports.eu/en/dayton-audio-lw18-05.html,3.3
Jantzen Audio 000-0918,"Jantzen Audio 000-0918 | 0,05 mH | 0,12 Ω | 1% | 20 AWG",0.05,0.12,20.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0918.html,3.68
Jantzen Audio 000-1963,"Jantzen Audio 000-1963 | 0,05 mH | 0,06 Ω | 5% | 18 AWG",0.05,0.06,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1963.html,4.5
Intertechnik LU25/005/071,"Intertechnik LU25/005/071 | 0,05 mH | 0,15 Ω | 3% | 21 AWG",0.05,0.15,21.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu25-005-071.html,5.74
Jantzen Audio 000-7611,"Jantzen Audio 000-7611 | 0,05 mH | 0,07 Ω | 2% | 16 AWG",0.05,0.07,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7611.html,14.83
Jantzen Audio 000-85194,"Jantzen Audio 000-85194 | 0,05 mH | 0,07 Ω | 2% | 16 AWG",0.05,0.07,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-85194.html,15.25
Jantzen Audio 000-7004,"Jantzen Audio 000-7004 | 0,05 mH | 0,04 Ω | 2% | 12 AWG",0.05,0.04,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7004.html,21.45
Jantzen Audio 000-76115,"Jantzen Audio 000-76115 | 0,055 mH | 0,07 Ω | 2% | 16 AWG",0.055,0.07,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-76115.html,15.25
Jantzen Audio 000-2120,"Jantzen Audio 000-2120 | 0,06 mH | 0,07 Ω | 3% | 20 AWG",0.06,0.07,20.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-2120.html,4.5
Intertechnik LU25/006/071,"Intertechnik LU25/006/071 | 0,06 mH | 0,17 Ω | 3% | 21 AWG",0.06,0.17,21.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu25-006-071.html,5.74
Jantzen Audio 000-85196,"Jantzen Audio 000-85196 | 0,06 mH | 0,07 Ω | 2% | 16 AWG",0.06,0.07,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-85196.html,16.07
Intertechnik LU25/007/071,"Intertechnik LU25/007/071 | 0,07 mH | 0,18 Ω | 3% | 21 AWG",0.07,0.18,21.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu25-007-071.html,5.74
Jantzen Audio 000-7615,"Jantzen Audio 000-7615 | 0,07 mH | 0,09 Ω | 2% | 16 AWG",0.07,0.09,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7615.html,15.25
Jantzen Audio 000-8009,"Jantzen Audio 000-8009 | 0,07 mH | 0,05 Ω | 2% | 12 AWG",0.07,0.05,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8009.html,25.17
Jantzen Audio 000-8264,"Jantzen Audio 000-8264 | 0,075 mH | 0,06 Ω | 2% | 14 AWG",0.075,0.06,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8264.html,19.79
Jantzen Audio 000-1154,"Jantzen Audio 000-1154 | 0,08 mH | 0,17 Ω | 3% | 20 AWG",0.08,0.17,20.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1154.html,4.5
Jantzen Audio 000-1028,"Jantzen Audio 000-1028 | 0,08 mH | 0,12 Ω | 3% | 18 AWG",0.08,0.12,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1028.html,4.92
Intertechnik LU25/008/071,"Intertechnik LU25/008/071 | 0,08 mH | 0,19 Ω | 3% | 21 AWG",0.08,0.19,21.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu25-008-071.html,5.74
Jantzen Audio 000-1534,"Jantzen Audio 000-1534 | 0,08 mH | 0,06 Ω | 3% | 15 AWG",0.08,0.06,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1534.html,6.98
Jantzen Audio 000-85198,"Jantzen Audio 000-85198 | 0,08 mH | 0,09 Ω | 2% | 16 AWG",0.08,0.09,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-85198.html,16.49
Jantzen Audio 000-7005,"Jantzen Audio 000-7005 | 0,08 mH | 0,05 Ω | 2% | 12 AWG",0.08,0.05,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7005.html,24.34
Jantzen Audio 000-1808,"Jantzen Audio 000-1808 | 0,082 mH | 0,37 Ω | 3% | 24 AWG",0.082,0.37,24.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1808.html,4.09
Jantzen Audio 000-1141,"Jantzen Audio 000-1141 | 0,09 mH | 0,21 Ω | 3% | 21 AWG",0.09,0.21,21.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1141.html,4.09
Jantzen Audio 000-1646,"Jantzen Audio 000-1646 | 0,09 mH | 0,13 Ω | 3% | 18 AWG",0.09,0.13,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1646.html,5.33
Dayton Audio AC20-10,Dayton Audio AC20-10 | 0.10 mH | 0.21 Ω | 5% | 20 AWG,0.1,0.21,20.0,Air Core,https://www.soundimports.eu/en/dayton-audio-ac20-10.html,2.69
Dayton Audio LW18-10,Dayton Audio LW18-10 | 0.10 mH | 0.14 Ω | 5% | 18 AWG,0.1,0.14,18.0,Air Core,https://www.soundimports.eu/en/dayton-audio-lw18-10.html,3.68
Jantzen Audio 000-1751,"Jantzen Audio 000-1751 | 0,10 mH | 0,58 Ω | 3% | 24 AWG",0.1,0.58,24.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1751.html,4.09
