PartNumber,Description,Value,Power_W,Tolerance_pct,URL,Price
Jantzen Audio 002-0688,"Jantzen Audio 002-0688 | 0,10 Ω | 10 W | 5%",0.1,10.0,5.0,https://www.soundimports.eu/en/jantzen-audio-002-0688.html,0.82
Intertechnik WAX5/0.10/5,"Intertechnik WAX5/0.10/5 | 0,10 Ω | 5 W | 5%",0.1,5.0,5.0,https://www.soundimports.eu/en/it-intertechnik-wax5-0-10-5.html,0.82
Intertechnik WAX10/0.10/5,"Intertechnik WAX10/0.10/5 | 0,10 Ω | 10 W | 5%",0.1,10.0,5.0,https://www.soundimports.eu/en/it-intertechnik-wax10-0-10-5.html,1.23
Jantzen Audio 002-0001,"Jantzen Audio 002-0001 | 0,10 Ω | 5 W | 1%",0.1,5.0,1.0,https://www.soundimports.eu/en/jantzen-audio-002-0001.html,1.64
"Mundorf MR5-0,10","Mundorf MR5-0,10 | 0,10 Ω | 5 W | 5%",0.1,5.0,5.0,https://www.soundimports.eu/en/mundorf-mr5-010.html,1.64
Intertechnik WAX20/0.10/5,"Intertechnik WAX20/0.10/5 | 0,10 Ω | 20 W | 5%",0.1,20.0,5.0,https://www.soundimports.eu/en/it-intertechnik-wax20-0-10-5.html,1.86
Jantzen Audio 002-012510010,"Jantzen Audio 002-012510010 | 0,10 Ω | 10 W | 1%",0.1,10.0,1.0,https://www.soundimports.eu/en/jantzen-audio-002-012510010.html,5.33
"Mundorf MRES20-0,10","Mundorf MRES20-0,10 | 0,10 Ω | 20 W | 2%",0.1,20.0,2.0,https://www.soundimports.eu/en/mundorf-mres20-010.html,20.62
Intertechnik WAX5/0.12/5,"Intertechnik WAX5/0.12/5 | 0,12 Ω | 5 W | 5%",0.12,5.0,5.0,https://www.soundimports.eu/en/it-intertechnik-wax5-0-12-5.html,0.82
Intertechnik WAX10/0.12/5,"Intertechnik WAX10/0.12/5 | 0,12 Ω | 10 W | 5%",0.12,10.0,5.0,https://www.soundimports.eu/en/it-intertechnik-wax10-0-12-5.html,1.23
Intertechnik WAX20/0.12/5,"Intertechnik WAX20/0.12/5 | 0,12 Ω | 20 W | 5%",0.12,20.0,5.0,https://www.soundimports.eu/en/it-intertechnik-wax20-0-12-5.html,1.86
Jantzen Audio 002-012510012,"Jantzen Audio 002-012510012 | 0,12 Ω | 10 W | 1%",0.12,10.0,1.0,https://www.soundimports.eu/en/jantzen-audio-002-012510012.html,5.33
Intertechnik WAX5/0.15/5,"Intertechnik WAX5/0.15/5 | 0,15 Ω | 5 W | 5%",0.15,5.0,5.0,https://www.soundimports.eu/en/it-intertechnik-wax5-0-15-5.html,0.82
Intertechnik WAX10/0.15/5,"Intertechnik WAX10/0.15/5 | 0,15 Ω | 10 W | 5%",0.15,10.0,5.0,https://www.soundimports.eu/en/it-intertechnik-wax10-0-15-5.html,1.23
Intertechnik WAX20/0.15/5,"Intertechnik WAX20/0.15/5 | 0,15 Ω | 20 W | 5%",0.15,20.0,5.0,https://www.soundimports.eu/en/it-intertechnik-wax20-0-15-5.html,1.86
Jantzen Audio 002-012510015,"Jantzen Audio 002-012510015 | 0,15 Ω | 10 W | 1%",0.15,10.0,1.0,https://www.soundimports.eu/en/jantzen-audio-002-012510015.html,5.33
Intertechnik WAX5/0.18/5,"Intertechnik WAX5/0.18/5 | 0,18 Ω | 5 W | 5%",0.18,5.0,5.0,https://www.soundimports.eu/en/it-intertechnik-wax5-0-18-5.html,0.82
