Part Number;Quantity;Value;Unit;Component;Description;Unit Price ($);Line Total ($);URL
027-914;1;1.8;μF;Capacitor;Jantzen 0237 1.8uF 400V Crosscap Capacitor;1.31;1.31;https://www.parts-express.com/Jantzen-0237-1.8uF-400V-Crosscap-Capacitor-027-914
Jantzen Audio 001-0232;1;1.1;μF;Capacitor;Jantzen Audio 001-0232 | 1,10 µF | 5% | 400 V;1.49;1.49;https://www.soundimports.eu/en/jantzen-audio-001-0232.html
Jantzen Audio 000-2389;1;1.6;mH;Inductor;Jantzen Audio 000-2389 | 1,6 mH | 0,3 Ω | 3% | 18 AWG;9.45;9.45;https://www.soundimports.eu/en/jantzen-audio-000-2389.html
027-586;1;24.0;μF;Capacitor;Solen 24uF 400V Polypropylene Capacitor;16.1;16.1;https://www.parts-express.com/Solen-24uF-400V-Polypropylene-Capacitor-027-586
Jantzen Audio 000-2388;1;1.4;mH;Inductor;Jantzen Audio 000-2388 | 1,4 mH | 0,28 Ω | 3% | 18 AWG;9.45;9.45;https://www.soundimports.eu/en/jantzen-audio-000-2388.html
027-582;1;20.0;μF;Capacitor;Solen 20uF 400V Polypropylene Capacitor;5.09;5.09;https://www.parts-express.com/Solen-20uF-400V-Polypropylene-Capacitor-027-582
Jantzen Audio 002-0793;1;7.5;Ω;Resistor;Jantzen Audio 002-0793 | 7,5 Ω | 10 W | 5%;0.99;0.99;https://www.soundimports.eu/en/jantzen-audio-002-0793.html
Jantzen Audio 000-1009;1;0.35;mH;Inductor;Jantzen Audio 000-1009 | 0,35 mH | 0,275 Ω | 3% | 18 AWG;8.45;8.45;https://www.soundimports.eu/en/jantzen-audio-000-1009.html
Jantzen Audio 001-0228;1;0.82;μF;Capacitor;Jantzen Audio 001-0228 | 0,82 µF | 5% | 400 V;1.49;1.49;https://www.soundimports.eu/en/jantzen-audio-001-0228.html
027-408;1;0.68;μF;Capacitor;Dayton Audio DMPC-0.68 0.68uF 250V Polypropylene C;0.59;0.59;https://www.parts-express.com/Dayton-Audio-DMPC-0.68-0.68uF-250V-Polypropylene-Capacitor-027-408
Jantzen Audio 000-5420;1;1.35;mH;Inductor;Jantzen Audio 000-5420 | 1,35 mH | 0,21 Ω | 3% | 18 AWG;9.45;9.45;https://www.soundimports.eu/en/jantzen-audio-000-5420.html
Jantzen Audio 000-2368;1;0.68;mH;Inductor;Jantzen Audio 000-2368 | 0,68 mH | 0,19 Ω | 3% | 18 AWG;7.95;7.95;https://www.soundimports.eu/en/jantzen-audio-000-2368.html
Jantzen Audio 002-0637;1;15.0;Ω;Resistor;Jantzen Audio 002-0637 | 15 Ω | 5 W | 5%;0.99;0.99;https://www.soundimports.eu/en/jantzen-audio-002-0637.html
ClarityCap PX;1;6.0;μF;Capacitor;ClarityCap PX | 6,00 µF | 5% | 250 V;8.45;8.45;https://www.soundimports.eu/en/claritycap-px6u0j250vdc.html

;;;;;TOTAL (1 Speaker):;$81.25;;
;;;;;TOTAL (Pair):;$162.50;;
