Part Number;Quantity;Value;Unit;Component;Description;Unit Price ($);Line Total ($);URL
027-210;1;1.0;μF;Capacitor;Dayton Audio PMPC-1.0 1.0uF 250V Precision Audio C;0.79;0.79;https://www.parts-express.com/Dayton-Audio-PMPC-1.0-1.0uF-250V-Precision-Audio-Capacitor-027-210
Jantzen Audio 000-8690;1;2.3;mH;Inductor;Jantzen Audio 000-8690 | 2,3 mH | 0,59 Ω | 2% | 16 AWG;54.45;54.45;https://www.soundimports.eu/en/jantzen-audio-000-8690.html
027-590;1;30.0;μF;Capacitor;Solen 30uF 400V Polypropylene Capacitor 027-590;7.69;7.69;https://www.parts-express.com/Solen-30uF-400V-Polypropylene-Capacitor-027-590
027-348;1;22.0;μF;Capacitor;22uF 100V Non-Polarized Capacitor;1.29;1.29;https://www.parts-express.com/22uF-100V-Non-Polarized-Capacitor-027-348
Jantzen Audio 000-2367;1;0.45;mH;Inductor;Jantzen Audio 000-2367 | 0,45 mH | 0,16 Ω | 3% | 18 AWG;7.45;7.45;https://www.soundimports.eu/en/jantzen-audio-000-2367.html
027-542;1;3.0;μF;Capacitor;Solen 3.0uF 400V Polypropylene Capacitor;1.19;1.19;https://www.parts-express.com/Solen-3.0uF-400V-Polypropylene-Capacitor-027-542
Jantzen Audio 001-6020;1;3.9;μF;Capacitor;Jantzen Audio 001-6020 | 3,9 µF | 10% | 100 V;0.99;0.99;https://www.soundimports.eu/en/jantzen-audio-001-6020.html
Jantzen Audio 001-0232;1;1.1;μF;Capacitor;Jantzen Audio 001-0232 | 1,10 µF | 5% | 400 V;1.49;1.49;https://www.soundimports.eu/en/jantzen-audio-001-0232.html
Jantzen Audio 000-1075;1;0.75;mH;Inductor;Jantzen Audio 000-1075 | 0,75 mH | 0,42 Ω | 3% | 18 AWG;10.45;10.45;https://www.soundimports.eu/en/jantzen-audio-000-1075.html
Jantzen Audio 002-0781;1;5.1;Ω;Resistor;Jantzen Audio 002-0781 | 5,1 Ω | 10 W | 5%;0.99;0.99;https://www.soundimports.eu/en/jantzen-audio-002-0781.html
Jantzen Audio 000-5005;1;1.3;mH;Inductor;Jantzen Audio 000-5005 | 1,3 mH | 0,17 Ω | 3% | 17 AWG;13.46;13.46;https://www.soundimports.eu/en/jantzen-audio-000-5005.html
Jantzen Audio 002-0802;1;10.0;Ω;Resistor;Jantzen Audio 002-0802 | 10 Ω | 10 W | 5%;0.99;0.99;https://www.soundimports.eu/en/jantzen-audio-002-0802.html

;;;;;TOTAL (1 Speaker):;$101.23;;
;;;;;TOTAL (Pair):;$202.46;;
