Part Number;Quantity;Value;Unit;Component;Description;Unit Price ($);Line Total ($);URL
Jantzen Audio 000-8690;1;2.3;mH;Inductor;Jantzen Audio 000-8690 | 2,3 mH | 0,59 Ω | 2% | 16 AWG;54.45;54.45;https://www.soundimports.eu/en/jantzen-audio-000-8690.html
Jantzen Audio 001-6141;1;15.0;μF;Capacitor;Jantzen Audio 001-6141 | 15 µF | 5% | 100 V;1.49;1.49;https://www.soundimports.eu/en/jantzen-audio-001-6141.html
Jantzen Audio 000-1047;1;1.04;mH;Inductor;Jantzen Audio 000-1047 | 1,04 mH | 0,29 Ω | 3% | 15 AWG;22.45;22.45;https://www.soundimports.eu/en/jantzen-audio-000-1047.html
027-256;1;25.0;μF;Capacitor;Dayton Audio PMPC-25 25uF 250V Precision Audio C;6.29;6.29;https://www.parts-express.com/Dayton-Audio-PMPC-25-25uF-250V-Precision-Audio-Capacitor-027-256
Jantzen Audio 000-1728;1;0.26;mH;Inductor;Jantzen Audio 000-1728 | 0,26 mH | 0,23 Ω | 3% | 18 AWG;7.45;7.45;https://www.soundimports.eu/en/jantzen-audio-000-1728.html
Jantzen Audio 000-5161;1;3.3;mH;Inductor;Jantzen Audio 000-5161 | 3,3 mH | 0,36 Ω | 3% | 18 AWG;11.45;11.45;https://www.soundimports.eu/en/jantzen-audio-000-5161.html
Jantzen Audio 001-6186;1;300.0;μF;Capacitor;Jantzen Audio 001-6186 | 300 µF | 5% | 100 V;9.45;9.45;https://www.soundimports.eu/en/jantzen-audio-001-6186.html
027-571;1;11.0;μF;Capacitor;Solen 11uF 400V Polypropylene Capacitor;11.13;11.13;https://www.parts-express.com/Solen-11uF-400V-Polypropylene-Capacitor-027-571
Dayton Audio LW18-20;1;0.2;mH;Inductor;Dayton Audio LW18-20 | 0.20 mH | 0.21 Ω | 5% | 18 AWG;5.44;5.44;https://www.soundimports.eu/en/dayton-audio-lw18-20.html
Intertechnik ELCR/8.2/100;1;8.2;μF;Capacitor;Intertechnik ELCR/8.2/100 | 8,2 µF | 10% | 100 V;0.99;0.99;https://www.soundimports.eu/en/it-intertechnik-elcr-8-2-100.html
Dayton Audio LW18-22;1;0.22;mH;Inductor;Dayton Audio LW18-22 | 0.22 mH | 0.22 Ω | 5% | 18 AWG;5.95;5.95;https://www.soundimports.eu/en/dayton-audio-lw18-22.html
027-346;1;17.0;μF;Capacitor;17uF 100V Non-Polarized Capacitor;1.29;1.29;https://www.parts-express.com/17uF-100V-Non-Polarized-Capacitor-027-346

;;;;;TOTAL (1 Speaker):;$137.83;;
;;;;;TOTAL (Pair):;$275.66;;
