Part Number;Quantity;Value;Unit;Component;Description;Unit Price ($);Line Total ($);URL
255-234;1;0.6;mH;Inductor;Jantzen 1951 0.60mH 18 AWG Air Core Inductor;7.29;7.29;https://www.parts-express.com/Jantzen-1951-0.60mH-18-AWG-Air-Core-Inductor-255-234
027-586;2;24.0;μF;Capacitor;Solen 24uF 400V Polypropylene Capacitor;16.1;32.2;https://www.parts-express.com/Solen-24uF-400V-Polypropylene-Capacitor-027-586
Jantzen Audio 001-6150;1;27.0;μF;Capacitor;Jantzen Audio 001-6150 | 27 µF | 5% | 100 V;1.98;1.98;https://www.soundimports.eu/en/jantzen-audio-001-6150.html
Jantzen Audio 000-1627;1;0.16;mH;Inductor;Jantzen Audio 000-1627 | 0,16 mH | 0,18 Ω | 3% | 18 AWG;6.45;6.45;https://www.soundimports.eu/en/jantzen-audio-000-1627.html
027-562;1;7.5;μF;Capacitor;Solen 7.5uF 400V Polypropylene Capacitor;2.29;2.29;https://www.parts-express.com/Solen-7.5uF-400V-Polypropylene-Capacitor-027-562
257-812;1;0.33;mH;Inductor;Dayton Audio LW18-33 0.33mH 18 AWG Perfect Layer;5.59;5.59;https://www.parts-express.com/Dayton-Audio-LW18-33-0.33mH-18-AWG-Perfect-Layer-Inductor-257-812
027-346;1;17.0;μF;Capacitor;17uF 100V Non-Polarized Capacitor;1.29;1.29;https://www.parts-express.com/17uF-100V-Non-Polarized-Capacitor-027-346
Jantzen Audio 000-1284;1;0.85;mH;Inductor;Jantzen Audio 000-1284 | 0,85 mH | 0,45 Ω | 3% | 18 AWG;10.95;10.95;https://www.soundimports.eu/en/jantzen-audio-000-1284.html

;;;;;TOTAL (1 Speaker):;$68.04;;
;;;;;TOTAL (Pair):;$136.08;;
