Part Number;Quantity;Value;Unit;Component;Description;Unit Price ($);Line Total ($);URL
Jantzen Audio 000-2343;1;1.1;mH;Inductor;Jantzen Audio 000-2343 | 1,1 mH | 0,21 Ω | 3% | 18 AWG;8.95;8.95;https://www.soundimports.eu/en/jantzen-audio-000-2343.html
Jantzen Audio 001-6150;2;27.0;μF;Capacitor;Jantzen Audio 001-6150 | 27 µF | 5% | 100 V;1.98;3.96;https://www.soundimports.eu/en/jantzen-audio-001-6150.html
Jantzen Audio 000-2389;1;1.6;mH;Inductor;Jantzen Audio 000-2389 | 1,6 mH | 0,3 Ω | 3% | 18 AWG;9.45;9.45;https://www.soundimports.eu/en/jantzen-audio-000-2389.html
257-650;1;1.0;mH;Inductor;Dayton Audio IC181 1.0mH 18 AWG I Core Inductor;6.39;6.39;https://www.parts-express.com/Dayton-Audio-IC181-1.0mH-18-AWG-Laminated-Iron-Core-Inductor-257-650
Jantzen Audio 001-6156;1;39.0;μF;Capacitor;Jantzen Audio 001-6156 | 39 µF | 5% | 100 V;2.44;2.44;https://www.soundimports.eu/en/jantzen-audio-001-6156.html
027-528;1;1.5;μF;Capacitor;Solen 1.5uF 400V Polypropylene Capacitor;0.79;0.79;https://www.parts-express.com/Solen-1.5uF-400V-Polypropylene-Capacitor-027-528
Jantzen Audio 001-0244;1;3.6;μF;Capacitor;Jantzen Audio 001-0244 | 3,60 µF | 5% | 400 V;2.44;2.44;https://www.soundimports.eu/en/jantzen-audio-001-0244.html
257-822;1;0.8;mH;Inductor;Dayton Audio LW18-80 0.80mH 18 AWG Perfect Layer;8.29;8.29;https://www.parts-express.com/Dayton-Audio-LW18-80-0.80mH-18-AWG-Perfect-Layer-Inductor-257-822

;;;;;TOTAL (1 Speaker):;$42.71;;
;;;;;TOTAL (Pair):;$85.42;;
