Part Number;Quantity;Value;Unit;Component;Description;Unit Price ($);Line Total ($);URL
257-668;1;5.0;mH;Inductor;Dayton Audio IC185 5.0mH 18 AWG I Core Inductor;12.19;12.19;https://www.parts-express.com/Dayton-Audio-IC185-5.0mH-18-AWG-Laminated-Iron-Core-Inductor-257-668
Jantzen Audio 000-5224;1;2.2;mH;Inductor;Jantzen Audio 000-5224 | 2,2 mH | 0,26 Ω | 3% | 18 AWG;10.45;10.45;https://www.soundimports.eu/en/jantzen-audio-000-5224.html
Jantzen Audio 001-0234;1;1.2;μF;Capacitor;Jantzen Audio 001-0234 | 1,20 µF | 5% | 400 V;1.49;1.49;https://www.soundimports.eu/en/jantzen-audio-001-0234.html
257-666;1;4.7;mH;Inductor;Dayton Audio IC184-7 4.7mH 18 AWG I Core Inductor;11.39;11.39;https://www.parts-express.com/Dayton-Audio-IC184-7-4.7mH-18-AWG-Laminated-Iron-Core-Inductor-257-666
Jantzen Audio 002-0372;1;75.0;Ω;Resistor;Jantzen Audio 002-0372 | 75 Ω | 5 W | 5%;0.99;0.99;https://www.soundimports.eu/en/jantzen-audio-002-0372.html
Jantzen Audio 000-2113;1;0.95;mH;Inductor;Jantzen Audio 000-2113 | 0,95 mH | 0,24 Ω | 3% | 18 AWG;8.45;8.45;https://www.soundimports.eu/en/jantzen-audio-000-2113.html
Jantzen Audio 001-0232;1;1.1;μF;Capacitor;Jantzen Audio 001-0232 | 1,10 µF | 5% | 400 V;1.49;1.49;https://www.soundimports.eu/en/jantzen-audio-001-0232.html
Jantzen Audio 001-02366;1;1.6;μF;Capacitor;Jantzen Audio 001-02366 | 1,60 µF | 5% | 400 V;1.49;1.49;https://www.soundimports.eu/en/jantzen-audio-001-02366.html
Intertechnik ELCR/8.2/100;1;8.2;μF;Capacitor;Intertechnik ELCR/8.2/100 | 8,2 µF | 10% | 100 V;0.99;0.99;https://www.soundimports.eu/en/it-intertechnik-elcr-8-2-100.html
Jantzen Audio 002-0796;1;8.2;Ω;Resistor;Jantzen Audio 002-0796 | 8,2 Ω | 10 W | 5%;0.99;0.99;https://www.soundimports.eu/en/jantzen-audio-002-0796.html

;;;;;TOTAL (1 Speaker):;$49.92;;
;;;;;TOTAL (Pair):;$99.84;;
