Part Number;Quantity;Value;Unit;Component;Description;Unit Price ($);Line Total ($);URL
Jantzen Audio 001-0216;2;0.39;μF;Capacitor;Jantzen Audio 001-0216 | 0,39 µF | 5% | 400 V;1.49;2.98;https://www.soundimports.eu/en/jantzen-audio-001-0216.html
257-668;4;5.0;mH;Inductor;Dayton Audio IC185 5.0mH 18 AWG I Core Inductor;12.19;48.76;https://www.parts-express.com/Dayton-Audio-IC185-5.0mH-18-AWG-Laminated-Iron-Core-Inductor-257-668
Jantzen Audio 001-0222;1;0.51;μF;Capacitor;Jantzen Audio 001-0222 | 0,51 µF | 5% | 400 V;1.49;1.49;https://www.soundimports.eu/en/jantzen-audio-001-0222.html
027-210;1;1.0;μF;Capacitor;Dayton Audio PMPC-1.0 1.0uF 250V Precision Audio C;0.79;0.79;https://www.parts-express.com/Dayton-Audio-PMPC-1.0-1.0uF-250V-Precision-Audio-Capacitor-027-210
027-408;1;0.68;μF;Capacitor;Dayton Audio DMPC-0.68 0.68uF 250V Polypropylene C;0.59;0.59;https://www.parts-express.com/Dayton-Audio-DMPC-0.68-0.68uF-250V-Polypropylene-Capacitor-027-408
Jantzen Audio 001-6020;1;3.9;μF;Capacitor;Jantzen Audio 001-6020 | 3,9 µF | 10% | 100 V;0.99;0.99;https://www.soundimports.eu/en/jantzen-audio-001-6020.html
Jantzen Audio 000-1577;1;0.42;mH;Inductor;Jantzen Audio 000-1577 | 0,42 mH | 0,30 Ω | 3% | 18 AWG;8.45;8.45;https://www.soundimports.eu/en/jantzen-audio-000-1577.html

;;;;;TOTAL (1 Speaker):;$64.05;;
;;;;;TOTAL (Pair):;$128.10;;
