ID,Component Type,Value,PartsExpress Link,SoundImports Link
C1,Capacitor,2.2 µF,,
R1,Resistor,13.0 Ω,,
C2,Capacitor,8.2 µF,,
L1,Inductor,5.10 mH,,
L2,Inductor,1.20 mH,,
C3,Capacitor,150.0 µF,,
C4,Capacitor,27.0 µF,,
L3,Inductor,0.13 mH,,
C5,Capacitor,24.0 µF,,
L4,Inductor,0.09 mH,,
C6,Capacitor,18.0 µF,,
L5,Inductor,0.62 mH,,
R2,Resistor,2.7 Ω,,
R3,Resistor,56.0 Ω,,
L6,Inductor,1.60 mH,,
C7,Capacitor,1.6 µF,,
L7,Inductor,0.43 mH,,
C8,Capacitor,36.0 µF,,
C9,Capacitor,1.1 µF,,
L8,Inductor,1.80 mH,,
C10,Capacitor,68.0 µF,,
L9,Inductor,0.36 mH,,
C11,Capacitor,13.0 µF,,
C12,Capacitor,0.8 µF,,
