Part Number;Quantity;Value;Unit;Component;Description;Unit Price ($);Line Total ($);URL
027-210;1;1.0;μF;Capacitor;Dayton Audio PMPC-1.0 1.0uF 250V Precision Audio C;0.79;0.79;https://www.parts-express.com/Dayton-Audio-PMPC-1.0-1.0uF-250V-Precision-Audio-Capacitor-027-210
255-052;1;1.5;mH;Inductor;Jantzen 1060 1.5mH 20 AWG Air Core Inductor;6.89;6.89;https://www.parts-express.com/Jantzen-1060-1.5mH-20-AWG-Air-Core-Inductor-255-052
027-434;1;18.0;μF;Capacitor;Dayton Audio DMPC-18 18uF 250V Polypropylene C;4.79;4.79;https://www.parts-express.com/Dayton-Audio-DMPC-18-18uF-250V-Polypropylene-Capacitor-027-434
027-236;1;6.2;μF;Capacitor;Dayton Audio PMPC-6.2 6.2uF 250V Precision Audio C;1.99;1.99;https://www.parts-express.com/Dayton-Audio-PMPC-6.2-6.2uF-250V-Precision-Audio-Capacitor-027-236
255-028;1;0.3;mH;Inductor;Jantzen 1832 0.30mH 20 AWG Air Core Inductor;6.85;6.85;https://www.parts-express.com/Jantzen-1832-0.30mH-20-AWG-Air-Core-Inductor-255-028
027-931;1;9.1;μF;Capacitor;Jantzen 0263 9.1uF 400V Crosscap Capacitor;4.88;4.88;https://www.parts-express.com/Jantzen-0263-9.1uF-400V-Crosscap-Capacitor-027-931
027-107;1;0.82;μF;Capacitor;Audyn Cap Q4 0.82uF 400V MKP Foil Capacitor;2.83;2.83;https://www.parts-express.com/Audyn-Cap-Q4-0.82uF-400V-MKP-Foil-Capacitor-027-107
257-304;1;0.24;mH;Inductor;Dayton Audio LW14-24 0.24mH 14 AWG Perfect Layer;0.0;0.0;https://www.parts-express.com/Dayton-Audio-LW14-24-0.24mH-14-AWG-Perfect-Layer-Inductor-257-304
027-582;1;20.0;μF;Capacitor;Solen 20uF 400V Polypropylene Capacitor;5.09;5.09;https://www.parts-express.com/Solen-20uF-400V-Polypropylene-Capacitor-027-582

;;;;;TOTAL (1 Speaker):;$34.11;;
;;;;;TOTAL (Pair):;$68.22;;
