Part Number;Quantity;Value;Unit;Component;Description;Unit Price ($);Line Total ($);URL
Jantzen Audio 000-1703;1;1.6;mH;Inductor;Jantzen Audio 000-1703 | 1,6 mH | 5,4 Ω | 3% | 29 AWG;4.5;4.5;https://www.soundimports.eu/en/jantzen-audio-000-1703.html
027-582;1;20.0;μF;Capacitor;Solen 20uF 400V Polypropylene Capacitor;5.09;5.09;https://www.parts-express.com/Solen-20uF-400V-Polypropylene-Capacitor-027-582
027-562;1;7.5;μF;Capacitor;Solen 7.5uF 400V Polypropylene Capacitor;2.29;2.29;https://www.parts-express.com/Solen-7.5uF-400V-Polypropylene-Capacitor-027-562
Jantzen Audio 000-1321;1;0.33;mH;Inductor;Jantzen Audio 000-1321 | 0,33 mH | 0,79 Ω | 3% | 24 AWG;3.68;3.68;https://www.soundimports.eu/en/jantzen-audio-000-1321.html
Audyn Q4/5,2/400;1;5.2;μF;Capacitor;Audyn Q4/5,2/400 | 5,2 µF | 5% | 400 V;4.5;4.5;https://www.soundimports.eu/en/audyn-q4-5-2-400.html
Jantzen Audio 000-1266;1;0.26;mH;Inductor;Jantzen Audio 000-1266 | 0,26 mH | 1,83 Ω | 3% | 29 AWG;3.68;3.68;https://www.soundimports.eu/en/jantzen-audio-000-1266.html
027-340;1;10.0;μF;Capacitor;10uF 100V Non-Polarized Capacitor;1.09;1.09;https://www.parts-express.com/10uF-100V-Non-Polarized-Capacitor-027-340
Audyn Q6/3,5/600;1;3.5;μF;Capacitor;Audyn Q6/3,5/600 | 3,5 µF | 5% | 600 V;4.92;4.92;https://www.soundimports.eu/en/audyn-q6-3-5-600.html
Jantzen Audio 000-1590;1;0.28;mH;Inductor;Jantzen Audio 000-1590 | 0,28 mH | 0,71 Ω | 3% | 24 AWG;4.09;4.09;https://www.soundimports.eu/en/jantzen-audio-000-1590.html

;;;;;TOTAL (1 Speaker):;$33.84;;
;;;;;TOTAL (Pair):;$67.68;;
