Part Number;Quantity;Value;Unit;Component;Description;Unit Price ($);Line Total ($);URL
257-824;1;0.9;mH;Inductor;Dayton Audio LW18-90 0.90mH 18 AWG Perfect Layer;8.29;8.29;https://www.parts-express.com/Dayton-Audio-LW18-90-0.90mH-18-AWG-Perfect-Layer-Inductor-257-824
027-582;2;20.0;μF;Capacitor;Solen 20uF 400V Polypropylene Capacitor;5.09;10.18;https://www.parts-express.com/Solen-20uF-400V-Polypropylene-Capacitor-027-582
Jantzen Audio 000-5820;1;0.72;mH;Inductor;Jantzen Audio 000-5820 | 0,72 mH | 0,14 Ω | 3% | 18 AWG;9.45;9.45;https://www.soundimports.eu/en/jantzen-audio-000-5820.html
Audyn Q4/2.5/400;1;2.5;μF;Capacitor;Audyn Q4/2.5/400 | 2,5 µF | 5% | 400 V;4.25;4.25;https://www.soundimports.eu/en/audyn-q4-2-5-400.html
Jantzen Audio 000-1837;1;0.38;mH;Inductor;Jantzen Audio 000-1837 | 0,38 mH | 0,29 Ω | 3% | 18 AWG;8.45;8.45;https://www.soundimports.eu/en/jantzen-audio-000-1837.html
027-554;1;5.1;μF;Capacitor;Solen 5.1uF 400V Polypropylene Capacitor;1.79;1.79;https://www.parts-express.com/Solen-5.1uF-400V-Polypropylene-Capacitor-027-554
Dayton Audio LW18-20;1;0.2;mH;Inductor;Dayton Audio LW18-20 | 0.20 mH | 0.21 Ω | 5% | 18 AWG;5.44;5.44;https://www.soundimports.eu/en/dayton-audio-lw18-20.html
027-346;1;17.0;μF;Capacitor;17uF 100V Non-Polarized Capacitor;1.29;1.29;https://www.parts-express.com/17uF-100V-Non-Polarized-Capacitor-027-346

;;;;;TOTAL (1 Speaker):;$49.14;;
;;;;;TOTAL (Pair):;$98.28;;
