Part Number;Quantity;Value;Unit;Component;Description;Unit Price ($);Line Total ($);URL
Jantzen Audio 000-1136;1;1.15;mH;Inductor;Jantzen Audio 000-1136 | 1,15 mH | 0,76 Ω | 3% | 20 AWG;7.81;7.81;https://www.soundimports.eu/en/jantzen-audio-000-1136.html
Intertechnik ELCR/22/100;1;22.0;μF;Capacitor;Intertechnik ELCR/22/100 | 22 µF | 10% | 100 V;1.23;1.23;https://www.soundimports.eu/en/it-intertechnik-elcr-22-100.html
Jantzen Audio 000-5202;1;0.91;mH;Inductor;Jantzen Audio 000-5202 | 0,91 mH | 0,16 Ω | 3% | 18 AWG;7.4;7.4;https://www.soundimports.eu/en/jantzen-audio-000-5202.html
Jantzen Audio 001-6141;1;15.0;μF;Capacitor;Jantzen Audio 001-6141 | 15 µF | 5% | 100 V;1.23;1.23;https://www.soundimports.eu/en/jantzen-audio-001-6141.html
ClarityCap PUR6u6H250Vdc;2;6.6;μF;Capacitor;ClarityCap PUR6u6H250Vdc | 6,60 µF | 3% | 250 V;35.5;71.0;https://www.soundimports.eu/en/claritycap-pur6u6h250vdc.html
Dayton Audio AC20-35;1;0.35;mH;Inductor;Dayton Audio AC20-35 | 0.35 mH | 0.40 Ω | 5% | 20 AWG;3.68;3.68;https://www.soundimports.eu/en/dayton-audio-ac20-35.html
Jantzen Audio 000-1102;1;0.24;mH;Inductor;Jantzen Audio 000-1102 | 0,24 mH | 0,64 Ω | 3% | 24 AWG;3.68;3.68;https://www.soundimports.eu/en/jantzen-audio-000-1102.html
Jantzen Audio 001-0269;1;16.0;μF;Capacitor;Jantzen Audio 001-0269 | 16 µF | 5% | 400 V;6.98;6.98;https://www.soundimports.eu/en/jantzen-audio-001-0269.html

;;;;;TOTAL (1 Speaker):;$103.01;;
;;;;;TOTAL (Pair):;$206.02;;
