Part Number;Quantity;Value;Unit;Component;Description;Unit Price ($);Line Total ($);URL
Jantzen Audio 000-2325;1;1.3;mH;Inductor;Jantzen Audio 000-2325 | 1,3 mH | 0,50 Ω | 3% | 21 AWG;5.74;5.74;https://www.soundimports.eu/en/jantzen-audio-000-2325.html
Intertechnik ELCR/22/100;1;22.0;μF;Capacitor;Intertechnik ELCR/22/100 | 22 µF | 10% | 100 V;1.23;1.23;https://www.soundimports.eu/en/it-intertechnik-elcr-22-100.html
027-542;1;3.0;μF;Capacitor;Solen 3.0uF 400V Polypropylene Capacitor;1.19;1.19;https://www.parts-express.com/Solen-3.0uF-400V-Polypropylene-Capacitor-027-542
Jantzen Audio 000-0968;1;0.36;mH;Inductor;Jantzen Audio 000-0968 | 0,36 mH | 1,25 Ω | 3% | 26 AWG;4.09;4.09;https://www.soundimports.eu/en/jantzen-audio-000-0968.html
027-562;1;7.5;μF;Capacitor;Solen 7.5uF 400V Polypropylene Capacitor;2.29;2.29;https://www.parts-express.com/Solen-7.5uF-400V-Polypropylene-Capacitor-027-562
Dayton Audio AC20-30;1;0.3;mH;Inductor;Dayton Audio AC20-30 | 0.30 mH | 0.39 Ω | 5% | 20 AWG;3.84;3.84;https://www.soundimports.eu/en/dayton-audio-ac20-3.html
Audyn Q4/13.0/400;1;13.0;μF;Capacitor;Audyn Q4/13.0/400 | 13 µF | 5% | 400 V;8.47;8.47;https://www.soundimports.eu/en/audyn-q4-13-0-400.html
027-236;1;6.2;μF;Capacitor;Dayton Audio PMPC-6.2 6.2uF 250V Precision Audio C;1.99;1.99;https://www.parts-express.com/Dayton-Audio-PMPC-6.2-6.2uF-250V-Precision-Audio-Capacitor-027-236
Dayton Audio AC20-35;1;0.35;mH;Inductor;Dayton Audio AC20-35 | 0.35 mH | 0.40 Ω | 5% | 20 AWG;3.68;3.68;https://www.soundimports.eu/en/dayton-audio-ac20-35.html

;;;;;TOTAL (1 Speaker):;$32.52;;
;;;;;TOTAL (Pair):;$65.04;;
