Part Number;Quantity;Value;Unit;Component;Description;Unit Price ($);Line Total ($);URL
Jantzen Audio 001-0234;2;1.2;μF;Capacitor;Jantzen Audio 001-0234 | 1,20 µF | 5% | 400 V;1.49;2.98;https://www.soundimports.eu/en/jantzen-audio-001-0234.html
Jantzen Audio 000-1075;1;0.75;mH;Inductor;Jantzen Audio 000-1075 | 0,75 mH | 0,42 Ω | 3% | 18 AWG;10.45;10.45;https://www.soundimports.eu/en/jantzen-audio-000-1075.html
Jantzen Audio 001-6162;1;56.0;μF;Capacitor;Jantzen Audio 001-6162 | 56 µF | 5% | 100 V;2.95;2.95;https://www.soundimports.eu/en/jantzen-audio-001-6162.html
Jantzen Audio 000-2377;1;0.56;mH;Inductor;Jantzen Audio 000-2377 | 0,56 mH | 0,17 Ω | 3% | 18 AWG;7.45;7.45;https://www.soundimports.eu/en/jantzen-audio-000-2377.html
027-260;1;40.0;μF;Capacitor;Dayton Audio PMPC-40 40uF 250V Precision Audio C;9.89;9.89;https://www.parts-express.com/Dayton-Audio-PMPC-40-40uF-250V-Precision-Audio-Capacitor-027-260
027-334;1;5.6;μF;Capacitor;5.6uF 100V Non-Polarized Capacitor;0.99;0.99;https://www.parts-express.com/5.6uF-100V-Non-Polarized-Capacitor-027-334
004-6.5;1;6.5;Ω;Resistor;Dayton Audio DNR-6.5 6.5 Ohm 10W Precision Audio Gra;1.25;1.25;https://www.parts-express.com/Dayton-Audio-DNR-6.5-6.5-Ohm-10W-Precision-Audio-Grade-Resis-004-6.5
255-234;1;0.6;mH;Inductor;Jantzen 1951 0.60mH 18 AWG Air Core Inductor;7.29;7.29;https://www.parts-express.com/Jantzen-1951-0.60mH-18-AWG-Air-Core-Inductor-255-234

;;;;;TOTAL (1 Speaker):;$43.25;;
;;;;;TOTAL (Pair):;$86.50;;
