Part Number;Quantity;Value;Unit;Component;Description;Unit Price ($);Line Total ($);URL
Jantzen Audio 000-2038;1;1.9;mH;Inductor;Jantzen Audio 000-2038 | 1,9 mH | 0,23 Ω | 3% | 17 AWG;14.45;14.45;https://www.soundimports.eu/en/jantzen-audio-000-2038.html
Jantzen Audio 000-1303;1;0.41;mH;Inductor;Jantzen Audio 000-1303 | 0,41 mH | 0,30 Ω | 3% | 18 AWG;8.45;8.45;https://www.soundimports.eu/en/jantzen-audio-000-1303.html
Jantzen Audio 001-6141;1;15.0;μF;Capacitor;Jantzen Audio 001-6141 | 15 µF | 5% | 100 V;1.49;1.49;https://www.soundimports.eu/en/jantzen-audio-001-6141.html
Jantzen Audio 000-2192;2;0.82;mH;Inductor;Jantzen Audio 000-2192 | 0,82 mH | 0,19 Ω | 3% | 18 AWG;7.95;15.9;https://www.soundimports.eu/en/jantzen-audio-000-2192.html
Jantzen Audio 001-6144;1;18.0;μF;Capacitor;Jantzen Audio 001-6144 | 18 µF | 5% | 100 V;1.49;1.49;https://www.soundimports.eu/en/jantzen-audio-001-6144.html
Jantzen Audio 001-0253;1;5.4;μF;Capacitor;Jantzen Audio 001-0253 | 5,40 µF | 5% | 400 V;3.45;3.45;https://www.soundimports.eu/en/jantzen-audio-001-0253.html
257-820;1;0.7;mH;Inductor;Dayton Audio LW18-70 0.70mH 18 AWG Perfect Layer;7.69;7.69;https://www.parts-express.com/Dayton-Audio-LW18-70-0.70mH-18-AWG-Perfect-Layer-Inductor-257-820
027-626;1;160.0;μF;Capacitor;Solen 160uF 400V Polypropylene Capacitor;79.56;79.56;https://www.parts-express.com/Solen-160uF-400V-Polypropylene-Capacitor-027-626
Jantzen Audio 001-6029;1;6.8;μF;Capacitor;Jantzen Audio 001-6029 | 6,8 µF | 10% | 100 V;0.99;0.99;https://www.soundimports.eu/en/jantzen-audio-001-6029.html
027-542;1;3.0;μF;Capacitor;Solen 3.0uF 400V Polypropylene Capacitor;1.19;1.19;https://www.parts-express.com/Solen-3.0uF-400V-Polypropylene-Capacitor-027-542
Dayton Audio LW18-13;1;0.13;mH;Inductor;Dayton Audio LW18-13 | 0.13 mH | 0.16 Ω | 5% | 18 AWG;4.45;4.45;https://www.soundimports.eu/en/dayton-audio-lw18-13.html
027-571;1;11.0;μF;Capacitor;Solen 11uF 400V Polypropylene Capacitor;11.13;11.13;https://www.parts-express.com/Solen-11uF-400V-Polypropylene-Capacitor-027-571
Jantzen Audio 000-1191;1;0.44;mH;Inductor;Jantzen Audio 000-1191 | 0,44 mH | 0,31 Ω | 3% | 18 AWG;8.45;8.45;https://www.soundimports.eu/en/jantzen-audio-000-1191.html
027-326;1;2.7;μF;Capacitor;2.7uF 100V Non-Polarized Capacitor;0.89;0.89;https://www.parts-express.com/2.7uF-100V-Non-Polarized-Capacitor-027-326

;;;;;TOTAL (1 Speaker):;$159.58;;
;;;;;TOTAL (Pair):;$319.16;;
