Part Number;Quantity;Value;Unit;Component;Description;Unit Price ($);Line Total ($);URL
Jantzen Audio 000-1303;1;0.41;mH;Inductor;Jantzen Audio 000-1303 | 0,41 mH | 0,30 Ω | 3% | 18 AWG;8.45;8.45;https://www.soundimports.eu/en/jantzen-audio-000-1303.html
Jantzen Audio 001-6150;1;27.0;μF;Capacitor;Jantzen Audio 001-6150 | 27 µF | 5% | 100 V;1.98;1.98;https://www.soundimports.eu/en/jantzen-audio-001-6150.html
Jantzen Audio 000-2377;1;0.56;mH;Inductor;Jantzen Audio 000-2377 | 0,56 mH | 0,17 Ω | 3% | 18 AWG;7.45;7.45;https://www.soundimports.eu/en/jantzen-audio-000-2377.html
027-348;2;22.0;μF;Capacitor;22uF 100V Non-Polarized Capacitor;1.29;2.58;https://www.parts-express.com/22uF-100V-Non-Polarized-Capacitor-027-348
257-816;1;0.5;mH;Inductor;Dayton Audio LW18-50 0.50mH 18 AWG Perfect Layer;6.59;6.59;https://www.parts-express.com/Dayton-Audio-LW18-50-0.50mH-18-AWG-Perfect-Layer-Inductor-257-816
Jantzen Audio 000-0832;1;0.34;mH;Inductor;Jantzen Audio 000-0832 | 0,34 mH | 0,27 Ω | 3% | 18 AWG;8.45;8.45;https://www.soundimports.eu/en/jantzen-audio-000-0832.html
027-346;1;17.0;μF;Capacitor;17uF 100V Non-Polarized Capacitor;1.29;1.29;https://www.parts-express.com/17uF-100V-Non-Polarized-Capacitor-027-346
257-668;1;5.0;mH;Inductor;Dayton Audio IC185 5.0mH 18 AWG I Core Inductor;12.19;12.19;https://www.parts-express.com/Dayton-Audio-IC185-5.0mH-18-AWG-Laminated-Iron-Core-Inductor-257-668
Jantzen Audio 001-0263;1;9.1;μF;Capacitor;Jantzen Audio 001-0263 | 9,10 µF | 5% | 400 V;4.45;4.45;https://www.soundimports.eu/en/jantzen-audio-001-0263.html
027-332;1;4.7;μF;Capacitor;4.7uF 100V Non-Polarized Capacitor;0.89;0.89;https://www.parts-express.com/4.7uF-100V-Non-Polarized-Capacitor-027-332
Jantzen Audio 000-7623;1;0.115;mH;Inductor;Jantzen Audio 000-7623 | 0,115 mH | 0,10 Ω | 2% | 16 AWG;20.45;20.45;https://www.soundimports.eu/en/jantzen-audio-000-7623.html
027-340;1;10.0;μF;Capacitor;10uF 100V Non-Polarized Capacitor;1.09;1.09;https://www.parts-express.com/10uF-100V-Non-Polarized-Capacitor-027-340

;;;;;TOTAL (1 Speaker):;$75.86;;
;;;;;TOTAL (Pair):;$151.72;;
