Part Number;Quantity;Value;Unit;Component;Description;Unit Price ($);Line Total ($);URL
257-658;1;3.0;mH;Inductor;Dayton Audio IC183 3.0mH 18 AWG I Core Inductor;9.49;9.49;https://www.parts-express.com/Dayton-Audio-IC183-3.0mH-18-AWG-Laminated-Iron-Core-Inductor-257-658
Jantzen Audio 000-1728;2;0.26;mH;Inductor;Jantzen Audio 000-1728 | 0,26 mH | 0,23 Ω | 3% | 18 AWG;7.45;14.9;https://www.soundimports.eu/en/jantzen-audio-000-1728.html
027-236;1;6.2;μF;Capacitor;Dayton Audio PMPC-6.2 6.2uF 250V Precision Audio C;1.99;1.99;https://www.parts-express.com/Dayton-Audio-PMPC-6.2-6.2uF-250V-Precision-Audio-Capacitor-027-236
Audyn Q4/13.0/400;1;13.0;μF;Capacitor;Audyn Q4/13.0/400 | 13 µF | 5% | 400 V;10.25;10.25;https://www.soundimports.eu/en/audyn-q4-13-0-400.html
Dayton Audio LW18-40;1;0.4;mH;Inductor;Dayton Audio LW18-40 | 0.40 mH | 0.29 Ω | 3% | 18 AWG;6.95;6.95;https://www.soundimports.eu/en/dayton-audio-lw18-40.html
Jantzen Audio 002-0754;1;2.2;Ω;Resistor;Jantzen Audio 002-0754 | 2,2 Ω | 10 W | 5%;0.99;0.99;https://www.soundimports.eu/en/jantzen-audio-002-0754.html
Jantzen Audio 000-0822;1;0.17;mH;Inductor;Jantzen Audio 000-0822 | 0,17 mH | 0,18 Ω | 3% | 18 AWG;6.95;6.95;https://www.soundimports.eu/en/jantzen-audio-000-0822.html
Intertechnik ELCR/47/100;1;47.0;μF;Capacitor;Intertechnik ELCR/47/100 | 47 µF | 10% | 100 V;1.49;1.49;https://www.soundimports.eu/en/it-intertechnik-elcr-47-100.html
Intertechnik ELCR/8.2/100;1;8.2;μF;Capacitor;Intertechnik ELCR/8.2/100 | 8,2 µF | 10% | 100 V;0.99;0.99;https://www.soundimports.eu/en/it-intertechnik-elcr-8-2-100.html

;;;;;TOTAL (1 Speaker):;$54.00;;
;;;;;TOTAL (Pair):;$108.00;;
