Part Number;Quantity;Value;Unit;Component;Description;Unit Price ($);Line Total ($);URL
Jantzen Audio 000-5005;1;1.3;mH;Inductor;Jantzen Audio 000-5005 | 1,3 mH | 0,17 Ω | 3% | 17 AWG;13.46;13.46;https://www.soundimports.eu/en/jantzen-audio-000-5005.html
004-4;1;4.0;Ω;Resistor;Dayton Audio DNR-4.0 4 Ohm 10W Precision Audio Grade R;1.25;1.25;https://www.parts-express.com/Dayton-Audio-DNR-4.0-4-Ohm-10W-Precision-Audio-Grade-Resisto-004-4
Jantzen Audio 001-0244;1;3.6;μF;Capacitor;Jantzen Audio 001-0244 | 3,60 µF | 5% | 400 V;2.44;2.44;https://www.soundimports.eu/en/jantzen-audio-001-0244.html
Jantzen Audio 000-5586;1;1.75;mH;Inductor;Jantzen Audio 000-5586 | 1,75 mH | 0,24 Ω | 3% | 18 AWG;9.95;9.95;https://www.soundimports.eu/en/jantzen-audio-000-5586.html
027-330;1;4.0;μF;Capacitor;4.0uF 100V Non-Polarized Capacitor;0.89;0.89;https://www.parts-express.com/4.0uF-100V-Non-Polarized-Capacitor-027-330
Jantzen Audio 000-1625;1;1.15;mH;Inductor;Jantzen Audio 000-1625 | 1,15 mH | 0,59 Ω | 3% | 18 AWG;13.95;13.95;https://www.soundimports.eu/en/jantzen-audio-000-1625.html
027-334;1;5.6;μF;Capacitor;5.6uF 100V Non-Polarized Capacitor;0.99;0.99;https://www.parts-express.com/5.6uF-100V-Non-Polarized-Capacitor-027-334
027-236;1;6.2;μF;Capacitor;Dayton Audio PMPC-6.2 6.2uF 250V Precision Audio C;1.99;1.99;https://www.parts-express.com/Dayton-Audio-PMPC-6.2-6.2uF-250V-Precision-Audio-Capacitor-027-236
Jantzen Audio 000-7615;1;0.07;mH;Inductor;Jantzen Audio 000-7615 | 0,07 mH | 0,09 Ω | 2% | 16 AWG;18.45;18.45;https://www.soundimports.eu/en/jantzen-audio-000-7615.html
Audyn Q4/13.0/400;1;13.0;μF;Capacitor;Audyn Q4/13.0/400 | 13 µF | 5% | 400 V;10.25;10.25;https://www.soundimports.eu/en/audyn-q4-13-0-400.html
027-562;1;7.5;μF;Capacitor;Solen 7.5uF 400V Polypropylene Capacitor;2.29;2.29;https://www.parts-express.com/Solen-7.5uF-400V-Polypropylene-Capacitor-027-562
Jantzen Audio 002-0781;1;5.1;Ω;Resistor;Jantzen Audio 002-0781 | 5,1 Ω | 10 W | 5%;0.99;0.99;https://www.soundimports.eu/en/jantzen-audio-002-0781.html

;;;;;TOTAL (1 Speaker):;$76.90;;
;;;;;TOTAL (Pair):;$153.80;;
