PartNumber,Description,Value,Tolerance_pct,Voltage_V,Type,URL,Price
027-450,Dayton Audio DFFC-0.01 0.01uF 400V By-Pass Capacitor,0.01,5,400,Film and Foil,https://www.parts-express.com/Dayton-Audio-DFFC-0.01-0.01uF-400V-By-Pass-Capacitor-027-450,1.39
027-100,Audyn Cap Q4 0.01uF 400V MKP Foil Capacitor,0.01,5,400,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Q4-0.01uF-400V-MKP-Foil-Capacitor-027-100,2.36
027-460,Jantzen 0502 0.10uF 1200V Z-Superior Capacitor,0.1,2,1200,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0502-0.10uF-1200V-Z-Superior-Capacitor-027-460,14.67
027-750,Jantzen 0602 0.10uF 1200V Z-Silver Capacitor,0.1,2,1200,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0602-0.10uF-1200V-Z-Silver-Capacitor-027-750,20.58
027-126,Audyn Cap Plus 0.1uF 1.2KV Double Layer MKP Foil C,0.1,2,1200,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Plus-0.1uF-1.2KV-Double-Layer-MKP-Foil-Capacitor-027-126,8.59
027-400,Dayton Audio DMPC-0.10 0.10uF 250V Polypropylene C,0.1,5,250,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-0.10-0.10uF-250V-Polypropylene-Capacitor-027-400,2.48
027-101,Audyn Cap Q4 0.1uF 400V MKP Foil Capacitor,0.1,5,400,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Q4-0.1uF-400V-MKP-Foil-Capacitor-027-101,2.48
027-900,Jantzen 0200 0.10uF 400V Crosscap Capacitor,0.1,5,400,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0200-0.10uF-400V-Crosscap-Capacitor-027-900,0.96
027-452,Dayton Audio DFFC-0.10 0.10uF 400V By-Pass Capacitor,0.1,5,400,Film and Foil,https://www.parts-express.com/Dayton-Audio-DFFC-0.10-0.10uF-400V-By-Pass-Capacitor-027-452,1.49
027-631,Solen 0.10uF 700V Silver Sound MKP Silver Metallized,0.1,5,700,Metalized Polypropylene,https://www.parts-express.com/Solen-0.10uF-700V-Silver-Sound-MKP-Silver-Metallized-Polypropylene-Film-Crossover-Capacitor-027-631,25.75
027-127,Audyn Cap Plus 0.15uF 1.2KV Double Layer MKP Foil C,0.15,2,1200,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Plus-0.15uF-1.2KV-Double-Layer-MKP-Foil-Capacitor-027-127,8.92
027-462,Jantzen 0506 0.15uF 1200V Z-Superior Capacitor,0.15,2,1200,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0506-0.15uF-1200V-Z-Superior-Capacitor-027-462,14.96
027-202,Dayton Audio PMPC-0.22 0.22uF 250V Precision Audio C,0.22,1,250,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-PMPC-0.22-0.22uF-250V-Precision-Audio-Capacitor-027-202,0.59
027-151,Audyn True Copper Cap 0.22uF 630V Copper Foil C,0.22,2,600,Metalized Polypropylene,https://www.parts-express.com/Audyn-True-Copper-Cap-0.22uF-630V-Copper-Foil-Capacitor-027-151,52.4
