PartNumber,Description,Value,DCR_Ohm,AWG,Type,URL,Price
Jantzen Audio 000-76064,"Jantzen Audio 000-76064 | 0,01 mH | 0,03 Ω | 2% | 16 AWG",0.01,0.03,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-76064.html,15.45
Jantzen Audio 000-76065,"Jantzen Audio 000-76065 | 0,011 mH | 0,03 Ω | 2% | 16 AWG",0.011,0.03,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-76065.html,15.95
Jantzen Audio 000-7260,"Jantzen Audio 000-7260 | 0,011 mH | 0,02 Ω | 2% | 14 AWG",0.011,0.02,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7260.html,17.45
Jantzen Audio 000-85192,"Jantzen Audio 000-85192 | 0,02 mH | 0,04 Ω | 2% | 16 AWG",0.02,0.04,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-85192.html,16.95
Jantzen Audio 000-1804,"Jantzen Audio 000-1804 | 0,025 mH | 0,06 Ω | 1% | 18 AWG",0.025,0.06,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1804.html,5.44
Jantzen Audio 000-76075,"Jantzen Audio 000-76075 | 0,025 mH | 0,05 Ω | 2% | 16 AWG",0.025,0.05,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-76075.html,17.45
Jantzen Audio 000-7273,"Jantzen Audio 000-7273 | 0,025 mH | 0,03 Ω | 2% | 14 AWG",0.025,0.03,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7273.html,19.44
Jantzen Audio 000-76077,"Jantzen Audio 000-76077 | 0,027 mH | 0,05 Ω | 2% | 16 AWG",0.027,0.05,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-76077.html,17.45
Jantzen Audio 000-8006,"Jantzen Audio 000-8006 | 0,033 mH | 0,03 Ω | 2% | 12 AWG",0.033,0.03,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8006.html,24.45
Dayton Audio LW18-05,Dayton Audio LW18-05 | 0.05 mH | 0.10 Ω | 5% | 18 AWG,0.05,0.1,18.0,Air Core,https://www.soundimports.eu/en/dayton-audio-lw18-05.html,3.99
Jantzen Audio 000-1963,"Jantzen Audio 000-1963 | 0,05 mH | 0,06 Ω | 5% | 18 AWG",0.05,0.06,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1963.html,5.44
Jantzen Audio 000-7611,"Jantzen Audio 000-7611 | 0,05 mH | 0,07 Ω | 2% | 16 AWG",0.05,0.07,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7611.html,17.94
Jantzen Audio 000-85194,"Jantzen Audio 000-85194 | 0,05 mH | 0,07 Ω | 2% | 16 AWG",0.05,0.07,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-85194.html,18.45
Jantzen Audio 000-7004,"Jantzen Audio 000-7004 | 0,05 mH | 0,04 Ω | 2% | 12 AWG",0.05,0.04,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7004.html,25.95
Jantzen Audio 000-76115,"Jantzen Audio 000-76115 | 0,055 mH | 0,07 Ω | 2% | 16 AWG",0.055,0.07,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-76115.html,18.45
Jantzen Audio 000-85196,"Jantzen Audio 000-85196 | 0,06 mH | 0,07 Ω | 2% | 16 AWG",0.06,0.07,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-85196.html,19.44
Jantzen Audio 000-7615,"Jantzen Audio 000-7615 | 0,07 mH | 0,09 Ω | 2% | 16 AWG",0.07,0.09,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7615.html,18.45
Jantzen Audio 000-8009,"Jantzen Audio 000-8009 | 0,07 mH | 0,05 Ω | 2% | 12 AWG",0.07,0.05,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8009.html,30.46
Jantzen Audio 000-8264,"Jantzen Audio 000-8264 | 0,075 mH | 0,06 Ω | 2% | 14 AWG",0.075,0.06,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8264.html,23.95
Jantzen Audio 000-1028,"Jantzen Audio 000-1028 | 0,08 mH | 0,12 Ω | 3% | 18 AWG",0.08,0.12,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1028.html,5.95
Jantzen Audio 000-1534,"Jantzen Audio 000-1534 | 0,08 mH | 0,06 Ω | 3% | 15 AWG",0.08,0.06,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1534.html,8.45
Jantzen Audio 000-85198,"Jantzen Audio 000-85198 | 0,08 mH | 0,09 Ω | 2% | 16 AWG",0.08,0.09,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-85198.html,19.95
Jantzen Audio 000-7005,"Jantzen Audio 000-7005 | 0,08 mH | 0,05 Ω | 2% | 12 AWG",0.08,0.05,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7005.html,29.45
Jantzen Audio 000-1646,"Jantzen Audio 000-1646 | 0,09 mH | 0,13 Ω | 3% | 18 AWG",0.09,0.13,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1646.html,6.45
