PartNumber,Description,Value,Power_W,Tolerance_pct,URL,Price
255-937,Jantzen 0.18 Ohm 10 Watt Audio-Grade Superes Resisto,0.18,10,1,https://www.parts-express.com/Jantzen-0.18-Ohm-10-Watt-Audio-Grade-Superes-Resistor-255-937,6.23
255-939,Jantzen 0.22 Ohm 10 Watt Audio-Grade Superes,0.22,10,1,https://www.parts-express.com/Jantzen-0.22-Ohm-10-Watt-Audio-Grade-Superes-Resistor-255-939,6.23
255-940,Jantzen 0.33 Ohm 10 Watt Audio-Grade Superes,0.33,10,1,https://www.parts-express.com/Jantzen-0.33-Ohm-10-Watt-Audio-Grade-Superes-Resistor-255-940,6.23
006-.33,Dayton Audio DPR10-0.33 0.33 Ohm 10 Watt Precision 1%,0.33,10,1,https://www.parts-express.com/Dayton-Audio-DPR10-0.33-0.33-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-.33,
004-.33,Dayton Audio DNR-0.33 0.33 Ohm 10W Precision Audio G,0.33,10,2,https://www.parts-express.com/Dayton-Audio-DNR-0.33-0.33-Ohm-10W-Precision-Audio-Grade-Res-004-.33,
007-.33,Dayton Audio DPR20-0.33 0.33 Ohm 20 Watt Precision 1%,0.33,20,1,https://www.parts-express.com/Dayton-Audio-DPR20-0.33-0.33-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-.33,6.25
255-941,Jantzen 0.51 Ohm 10 Watt Audio-Grade Superes,0.51,10,1,https://www.parts-express.com/Jantzen-0.51-Ohm-10-Watt-Audio-Grade-Superes-Resistor-255-941,6.23
006-.51,Dayton Audio DPR10-0.51 0.51 Ohm 10 Watt Precision 1%,0.51,10,1,https://www.parts-express.com/Dayton-Audio-DPR10-0.51-0.51-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-.51,
004-.51,Dayton Audio DNR-0.51 0.51 Ohm 10W Precision Audio G,0.51,10,2,https://www.parts-express.com/Dayton-Audio-DNR-0.51-0.51-Ohm-10W-Precision-Audio-Grade-Res-004-.51,
007-.51,Dayton Audio DPR20-0.51 0.51 Ohm 20 Watt Precision 1%,0.51,20,1,https://www.parts-express.com/Dayton-Audio-DPR20-0.51-0.51-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-.51,
255-942,Jantzen 0.68 Ohm 10 Watt Audio-Grade Superes,0.68,10,1,https://www.parts-express.com/Jantzen-0.68-Ohm-10-Watt-Audio-Grade-Superes-Resistor-255-942,6.23
255-943,Jantzen 0.75 Ohm 10 Watt Audio-Grade Superes,0.75,10,1,https://www.parts-express.com/Jantzen-0.75-Ohm-10-Watt-Audio-Grade-Superes-Resistor-255-943,6.23
006-.82,Dayton Audio DPR10-0.82 0.82 Ohm 10 Watt Precision 1%,0.82,10,1,https://www.parts-express.com/Dayton-Audio-DPR10-0.82-0.82-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-.82,2.7
004-.82,Dayton Audio DNR-0.82 0.82 Ohm 10W Precision Audio G,0.82,10,2,https://www.parts-express.com/Dayton-Audio-DNR-0.82-0.82-Ohm-10W-Precision-Audio-Grade-Res-004-.82,1.25
007-.82,Dayton Audio DPR20-0.82 0.82 Ohm 20 Watt Precision 1%,0.82,20,1,https://www.parts-express.com/Dayton-Audio-DPR20-0.82-0.82-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-.82,
006-1,Dayton Audio DPR10-1.0 1 Ohm 10 Watt Precision 1% Audio,1.0,10,1,https://www.parts-express.com/Dayton-Audio-DPR10-1.0-1-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-1,2.7
255-944,Jantzen 1.00 Ohm 10 Watt Audio-Grade Superes,1.0,10,1,https://www.parts-express.com/Jantzen-1.00-Ohm-10-Watt-Audio-Grade-Superes-Resistor-255-944,6.23
004-1,Dayton Audio DNR-1.0 1 Ohm 10W Precision Audio Grade R,1.0,10,2,https://www.parts-express.com/Dayton-Audio-DNR-1.0-1-Ohm-10W-Precision-Audio-Grade-Resisto-004-1,1.25
007-1,Dayton Audio DPR20-1.0 1 Ohm 20 Watt Precision 1% Audio,1.0,20,1,https://www.parts-express.com/Dayton-Audio-DPR20-1.0-1-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-1,6.25
006-1.2,Dayton Audio DPR10-1.2 1.2 Ohm 10 Watt Precision 1% A,1.2,10,1,https://www.parts-express.com/Dayton-Audio-DPR10-1.2-1.2-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-1.2,2.7
004-1.2,Dayton Audio DNR-1.2 1.2 Ohm 10W Precision Audio Gra,1.2,10,2,https://www.parts-express.com/Dayton-Audio-DNR-1.2-1.2-Ohm-10W-Precision-Audio-Grade-Resis-004-1.2,1.25
007-1.2,Dayton Audio DPR20-1.2 1.2 Ohm 20 Watt Precision 1% Au,1.2,20,1,https://www.parts-express.com/Dayton-Audio-DPR20-1.2-1.2-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-1.2,6.25
255-945,Jantzen 1.50 Ohm 10 Watt Audio-Grade Superes,1.5,10,1,https://www.parts-express.com/Jantzen-1.50-Ohm-10-Watt-Audio-Grade-Superes-Resistor-255-945,6.23
006-1.5,Dayton Audio DPR10-1.5 1.5 Ohm 10 Watt Precision 1% A,1.5,10,1,https://www.parts-express.com/Dayton-Audio-DPR10-1.5-1.5-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-1.5,2.7
004-1.5,Dayton Audio DNR-1.5 1.5 Ohm 10W Precision Audio Gra,1.5,10,2,https://www.parts-express.com/Dayton-Audio-DNR-1.5-1.5-Ohm-10W-Precision-Audio-Grade-Resis-004-1.5,1.25
005-1.5,Mills 1.5 Ohm 12W Non-Inductive Resistor,1.5,12,1,https://www.parts-express.com/Mills-1.5-Ohm-12W-Non-Inductive-Resistor-005-1.5,1.25
007-1.5,Dayton Audio DPR20-1.5 1.5 Ohm 20 Watt Precision 1% A,1.5,20,1,https://www.parts-express.com/Dayton-Audio-DPR20-1.5-1.5-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-1.5,6.25
006-2,Dayton Audio DPR10-2.0 2 Ohm 10 Watt Precision 1% Audio,2.0,10,1,https://www.parts-express.com/Dayton-Audio-DPR10-2.0-2-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-2,2.7
004-2,Dayton Audio DNR-2.0 2 Ohm 10W Precision Audio Grade R,2.0,10,2,https://www.parts-express.com/Dayton-Audio-DNR-2.0-2-Ohm-10W-Precision-Audio-Grade-Resisto-004-2,1.25
005-2,Mills 2 Ohm 12W Non-Inductive Resistor,2.0,12,1,https://www.parts-express.com/Mills-2-Ohm-12W-Non-Inductive-Resistor-005-2,
007-2,Dayton Audio DPR20-2.0 2 Ohm 20 Watt Precision 1% Audio,2.0,20,1,https://www.parts-express.com/Dayton-Audio-DPR20-2.0-2-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-2,6.25
255-946,Jantzen 2.20 Ohm 10 Watt Audio-Grade Superes,2.2,10,1,https://www.parts-express.com/Jantzen-2.20-Ohm-10-Watt-Audio-Grade-Superes-Resistor-255-946,6.23
006-2.4,Dayton Audio DPR10-2.4 2.4 Ohm 10 Watt Precision 1% A,2.4,10,1,https://www.parts-express.com/Dayton-Audio-DPR10-2.4-2.4-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-2.4,2.7
004-2.4,Dayton Audio DNR-2.4 2.4 Ohm 10W Precision Audio Gr,2.4,10,2,https://www.parts-express.com/Dayton-Audio-DNR-2.4-2.4-Ohm-10W-Precision-Audio-Grade-Resi-004-2.4,1.25
